date,NEE_close
2023-07-13,73.71
2023-07-12,73.47
2023-07-11,72.19
2023-07-10,71.71
2023-07-07,72.05
2023-07-06,73.02
2023-07-05,74.95
2023-07-03,74.38
2023-06-30,74.2
2023-06-29,72.81
2023-06-28,73.44
2023-06-27,73.91
2023-06-26,74.29
2023-06-23,74.17
2023-06-22,75.13
2023-06-21,75.78
2023-06-20,74.76
2023-06-16,75.59
2023-06-15,74.36
2023-06-14,73.4
2023-06-13,74.35
2023-06-12,73.98
2023-06-09,74.07
2023-06-08,74.9
2023-06-07,74.17
2023-06-06,73.38
2023-06-05,73.59
2023-06-02,73.85
2023-06-01,72.96
2023-05-31,73.46
2023-05-30,72.69
2023-05-26,73.92
2023-05-25,73.39
2023-05-24,74.24
2023-05-23,74.16
2023-05-22,74.58
2023-05-19,74.48
2023-05-18,75.1
2023-05-17,75.34
2023-05-16,75.84
2023-05-15,77.54
2023-05-12,77.96
2023-05-11,76.1
2023-05-10,76.89
2023-05-09,75.58
2023-05-08,76.06
2023-05-05,75.51
2023-05-04,75.51
2023-05-03,75.39
2023-05-02,75.94
2023-05-01,76.8
2023-04-28,76.63
2023-04-27,75.85
2023-04-26,74.07
2023-04-25,77.82
2023-04-24,79.04
2023-04-21,78.99
2023-04-20,78.75
2023-04-19,78.94
2023-04-18,78.3
2023-04-17,78.54
2023-04-14,78.02
2023-04-13,78.85
2023-04-12,78.59
2023-04-11,78.34
2023-04-10,78.43
2023-04-06,78.97
2023-04-05,78.33
2023-04-04,77.16
2023-04-03,76.67
2023-03-31,77.08
2023-03-30,76.59
2023-03-29,76.11
2023-03-28,75.24
2023-03-27,75.44
2023-03-24,75.69
2023-03-23,73.81
2023-03-22,74.13
2023-03-21,75.36
2023-03-20,75.97
2023-03-17,75.67
2023-03-16,76.23
2023-03-15,75.52
2023-03-14,74.55
2023-03-13,73.29
2023-03-10,73.01
2023-03-09,73.76
2023-03-08,74.25
2023-03-07,73.75
2023-03-06,74.4
2023-03-03,73.83
2023-03-02,72.21
2023-03-01,69.87
2023-02-28,71.03
2023-02-27,71.86
2023-02-24,72.92
2023-02-23,72.87
2023-02-22,73.68
2023-02-21,73.66
2023-02-17,76.07
2023-02-16,75.69
2023-02-15,76.94
2023-02-14,76.03
2023-02-13,75.62
2023-02-10,74.74
2023-02-09,73.27
2023-02-08,75.03
2023-02-07,76.08
2023-02-06,75.51
2023-02-03,74.67
2023-02-02,75.6
2023-02-01,74.24
2023-01-31,74.63
2023-01-30,75.05
2023-01-27,75.58
2023-01-26,76.4
2023-01-25,76.59
2023-01-24,83.9
2023-01-23,82.67
2023-01-20,81.82
2023-01-19,82.59
2023-01-18,83.8
2023-01-17,85.74
2023-01-13,84.68
2023-01-12,85.07
2023-01-11,85.0
2023-01-10,84.54
2023-01-09,84.07
2023-01-06,83.65
2023-01-05,82.63
2023-01-04,84.49
2023-01-03,83.83
2022-12-30,83.6
2022-12-29,84.08
2022-12-28,83.16
2022-12-27,84.0
2022-12-23,84.17
2022-12-22,83.34
2022-12-21,84.65
2022-12-20,83.52
2022-12-19,83.52
2022-12-16,84.14
2022-12-15,85.81
2022-12-14,87.05
2022-12-13,87.15
2022-12-12,86.55
2022-12-09,84.51
2022-12-08,85.76
2022-12-07,85.29
2022-12-06,85.18
2022-12-05,85.15
2022-12-02,85.2
2022-12-01,84.83
2022-11-30,84.7
2022-11-29,82.49
2022-11-28,83.73
2022-11-25,85.34
2022-11-23,84.92
2022-11-22,84.11
2022-11-21,83.6
2022-11-18,83.2
2022-11-17,82.35
2022-11-16,84.32
2022-11-15,82.91
2022-11-14,81.66
2022-11-11,83.31
2022-11-10,83.2
2022-11-09,78.2
2022-11-08,78.27
2022-11-07,77.29
2022-11-04,78.8
2022-11-03,78.18
2022-11-02,77.28
2022-11-01,77.71
2022-10-31,77.5
2022-10-28,79.03
2022-10-27,75.47
