date,NKE_close
2023-07-13,107.84
2023-07-12,107.76
2023-07-11,107.39
2023-07-10,105.78
2023-07-07,104.46
2023-07-06,105.1
2023-07-05,107.1
2023-07-03,109.11
2023-06-30,110.37
2023-06-29,113.37
2023-06-28,113.03
2023-06-27,113.61
2023-06-26,111.74
2023-06-23,109.52
2023-06-22,110.46
2023-06-21,109.98
2023-06-20,109.54
2023-06-16,113.59
2023-06-15,112.41
2023-06-14,112.86
2023-06-13,106.78
2023-06-12,106.83
2023-06-09,105.86
2023-06-08,106.2
2023-06-07,107.09
2023-06-06,106.19
2023-06-05,105.2
2023-06-02,107.78
2023-06-01,103.63
2023-05-31,105.26
2023-05-30,106.52
2023-05-26,107.51
2023-05-25,107.48
2023-05-24,108.29
2023-05-23,108.78
2023-05-22,110.18
2023-05-19,114.76
2023-05-18,118.87
2023-05-17,116.98
2023-05-16,116.48
2023-05-15,119.83
2023-05-12,120.21
2023-05-11,122.22
2023-05-10,123.51
2023-05-09,125.1
2023-05-08,126.88
2023-05-05,126.59
2023-05-04,123.67
2023-05-03,126.74
2023-05-02,127.26
2023-05-01,127.92
2023-04-28,126.72
2023-04-27,125.7
2023-04-26,123.84
2023-04-25,124.66
2023-04-24,127.09
2023-04-21,125.53
2023-04-20,124.45
2023-04-19,125.67
2023-04-18,126.21
2023-04-17,126.19
2023-04-14,125.95
2023-04-13,126.43
2023-04-12,123.66
2023-04-11,123.3
2023-04-10,121.91
2023-04-06,120.22
2023-04-05,120.9
2023-04-04,123.69
2023-04-03,121.67
2023-03-31,122.64
2023-03-30,120.1
2023-03-29,120.49
2023-03-28,117.87
2023-03-27,117.81
2023-03-24,120.71
2023-03-23,120.97
2023-03-22,119.5
2023-03-21,125.61
2023-03-20,121.2
2023-03-17,120.39
2023-03-16,120.65
2023-03-15,118.17
2023-03-14,119.0
2023-03-13,116.86
2023-03-10,117.49
2023-03-09,117.87
2023-03-08,119.86
2023-03-07,119.59
2023-03-06,120.17
2023-03-03,120.94
2023-03-02,119.58
2023-03-01,118.58
2023-02-28,118.79
2023-02-27,118.53
2023-02-24,118.04
2023-02-23,119.96
2023-02-22,119.9
2023-02-21,121.1
2023-02-17,124.84
2023-02-16,124.38
2023-02-15,127.48
2023-02-14,126.2
2023-02-13,125.15
2023-02-10,122.23
2023-02-09,122.18
2023-02-08,122.91
2023-02-07,125.33
2023-02-06,125.73
2023-02-03,127.61
2023-02-02,129.06
2023-02-01,129.5
2023-01-31,127.33
2023-01-30,126.37
2023-01-27,127.53
2023-01-26,127.53
2023-01-25,126.82
2023-01-24,126.83
2023-01-23,128.29
2023-01-20,126.62
2023-01-19,124.53
2023-01-18,126.43
2023-01-17,128.14
2023-01-13,128.85
2023-01-12,127.89
2023-01-11,127.94
2023-01-10,125.84
2023-01-09,124.85
2023-01-06,124.53
2023-01-05,120.62
2023-01-04,121.21
2023-01-03,118.75
2022-12-30,117.01
2022-12-29,117.35
2022-12-28,114.98
2022-12-27,117.56
2022-12-23,116.25
2022-12-22,116.71
2022-12-21,115.78
2022-12-20,103.21
2022-12-19,103.05
2022-12-16,105.95
2022-12-15,108.51
2022-12-14,111.45
2022-12-13,112.85
2022-12-12,112.07
2022-12-09,109.42
2022-12-08,111.36
2022-12-07,108.33
2022-12-06,107.93
2022-12-05,109.62
2022-12-02,112.2
2022-12-01,111.11
2022-11-30,109.69
2022-11-29,106.25
2022-11-28,104.96
2022-11-25,105.96
2022-11-23,106.65
2022-11-22,105.97
2022-11-21,103.83
2022-11-18,105.42
2022-11-17,105.36
2022-11-16,105.23
2022-11-15,106.71
2022-11-14,104.39
2022-11-11,106.09
2022-11-10,99.49
2022-11-09,92.1
2022-11-08,93.75
2022-11-07,93.44
2022-11-04,95.79
2022-11-03,90.4
2022-11-02,90.3
2022-11-01,93.77
2022-10-31,92.68
2022-10-28,93.83
2022-10-27,90.54
2022-10-26,92.39
2022-10-25,91.72
2022-10-24,88.01
2022-10-21,88.5
2022-10-20,86.83
2022-10-19,88.57
2022-10-18,89.68
2022-10-17,89.97
2022-10-14,87.55
2022-10-13,89.56
2022-10-12,88.51
2022-10-11,87.99
2022-10-10,86.69
2022-10-07,87.16
2022-10-06,90.17
2022-10-05,91.1
2022-10-04,88.64
