date,T_close
2023-07-13,15.12
2023-07-12,15.12
2023-07-11,15.23
2023-07-10,15.27
2023-07-07,15.61
2023-07-06,15.87
2023-07-05,16.07
2023-07-03,16.12
2023-06-30,15.95
2023-06-29,15.98
2023-06-28,15.78
2023-06-27,15.84
2023-06-26,15.63
2023-06-23,15.45
2023-06-22,15.58
2023-06-21,15.61
2023-06-20,15.78
2023-06-16,16.06
2023-06-15,16.03
2023-06-14,15.84
2023-06-13,15.82
2023-06-12,15.93
2023-06-09,15.95
2023-06-08,16.07
2023-06-07,16.1
2023-06-06,15.67
2023-06-05,15.39
2023-06-02,15.21
2023-06-01,15.81
2023-05-31,15.73
2023-05-30,15.64
2023-05-26,15.5
2023-05-25,15.15
2023-05-24,15.95
2023-05-23,16.1
2023-05-22,16.38
2023-05-19,16.31
2023-05-18,16.55
2023-05-17,16.66
2023-05-16,16.53
2023-05-15,16.95
2023-05-12,17.03
2023-05-11,16.96
2023-05-10,17.04
2023-05-09,17.02
2023-05-08,17.12
2023-05-05,17.13
2023-05-04,16.91
2023-05-03,17.09
2023-05-02,17.07
2023-05-01,17.5
2023-04-28,17.67
2023-04-27,17.61
2023-04-26,17.2
2023-04-25,17.51
2023-04-24,17.53
2023-04-21,18.22
2023-04-20,17.65
2023-04-19,19.7
2023-04-18,19.82
2023-04-17,19.79
2023-04-14,19.93
2023-04-13,19.96
2023-04-12,19.77
2023-04-11,19.69
2023-04-10,19.57
2023-04-06,19.65
2023-04-05,19.88
2023-04-04,19.64
2023-04-03,19.39
2023-03-31,19.25
2023-03-30,19.08
2023-03-29,19.0
2023-03-28,18.72
2023-03-27,18.87
2023-03-24,18.61
2023-03-23,18.46
2023-03-22,18.39
2023-03-21,18.54
2023-03-20,18.49
2023-03-17,18.13
2023-03-16,18.39
2023-03-15,18.31
2023-03-14,18.44
2023-03-13,18.3
2023-03-10,18.43
2023-03-09,18.32
2023-03-08,18.61
2023-03-07,18.71
2023-03-06,18.77
2023-03-03,18.81
2023-03-02,18.66
2023-03-01,18.66
2023-02-28,18.91
2023-02-27,19.03
2023-02-24,19.24
2023-02-23,19.35
2023-02-22,19.38
2023-02-21,19.21
2023-02-17,19.44
2023-02-16,19.26
2023-02-15,19.25
2023-02-14,19.15
2023-02-13,19.26
2023-02-10,19.07
2023-02-09,18.97
2023-02-08,19.16
2023-02-07,19.25
2023-02-06,19.58
2023-02-03,19.83
2023-02-02,20.28
2023-02-01,20.18
2023-01-31,20.37
2023-01-30,20.16
2023-01-27,19.95
2023-01-26,20.0
2023-01-25,20.42
2023-01-24,19.16
2023-01-23,19.1
2023-01-20,19.23
2023-01-19,18.94
2023-01-18,19.02
2023-01-17,19.33
2023-01-13,19.55
2023-01-12,19.41
2023-01-11,19.41
2023-01-10,19.47
2023-01-09,19.04
2023-01-06,19.53
2023-01-05,19.21
2023-01-04,19.14
2023-01-03,18.74
2022-12-30,18.41
2022-12-29,18.45
2022-12-28,18.22
2022-12-27,18.46
2022-12-23,18.31
2022-12-22,18.27
2022-12-21,18.15
2022-12-20,18.07
2022-12-19,17.86
2022-12-16,18.49
2022-12-15,18.47
2022-12-14,18.9
2022-12-13,19.12
2022-12-12,19.3
2022-12-09,19.09
2022-12-08,19.12
2022-12-07,19.3
2022-12-06,19.17
2022-12-05,18.75
2022-12-02,19.02
2022-12-01,19.19
2022-11-30,19.28
2022-11-29,19.01
2022-11-28,18.82
2022-11-25,19.12
2022-11-23,19.09
2022-11-22,19.0
2022-11-21,18.84
2022-11-18,18.97
2022-11-17,18.95
2022-11-16,18.93
2022-11-15,19.02
2022-11-14,19.06
2022-11-11,19.05
2022-11-10,18.84
2022-11-09,18.38
2022-11-08,18.57
2022-11-07,18.36
2022-11-04,18.32
2022-11-03,18.17
2022-11-02,18.43
2022-11-01,18.35
2022-10-31,18.23
2022-10-28,18.48
2022-10-27,18.03
2022-10-26,18.14
2022-10-25,17.69
2022-10-24,17.51
2022-10-21,17.1
2022-10-20,16.74
2022-10-19,15.54
2022-10-18,15.6
2022-10-17,15.31
2022-10-14,14.99
2022-10-13,15.12
2022-10-12,14.63
2022-10-11,14.81
2022-10-10,14.9
2022-10-07,14.94
2022-10-06,15.32
2022-10-05,15.93
2022-10-04,16.09
2022-10-03,15.9
2022-09-30,15.34
2022-09-29,15.53
2022-09-28,15.83
2022-09-27,15.73
2022-09-26,15.67
2022-09-23,16.01
2022-09-22,16.24
2022-09-21,16.25
2022-09-20,16.56
2022-09-19,16.76
2022-09-16,16.74
2022-09-15,16.76
2022-09-14,16.77
2022-09-13,16.83
2022-09-12,17.38
2022-09-09,17.03
2022-09-08,16.77
2022-09-07,16.87
2022-09-06,16.79
2022-09-02,17.19
2022-09-01,17.5
2022-08-31,17.54
2022-08-30,17.82
2022-08-29,17.78
2022-08-26,17.89
2022-08-25,18.09
2022-08-24,18.01
2022-08-23,18.06
2022-08-22,18.13
2022-08-19,18.43
2022-08-18,18.43
2022-08-17,18.42
2022-08-16,18.57
2022-08-15,18.39
2022-08-12,18.27
2022-08-11,18.04
2022-08-10,18.01
2022-08-09,18.1
2022-08-08,18.0
2022-08-05,18.35
2022-08-04,18.27
2022-08-03,18.37
2022-08-02,18.36
2022-08-01,18.73
2022-07-29,18.78
2022-07-28,18.58
2022-07-27,18.39
2022-07-26,18.3
2022-07-25,18.53
2022-07-22,18.4
2022-07-21,18.92
2022-07-20,20.48
2022-07-19,20.8
2022-07-18,20.53
2022-07-15,20.57
2022-07-14,20.33
2022-07-13,20.45
2022-07-12,20.6
2022-07-11,20.66
2022-07-08,20.8
2022-07-07,21.15
2022-07-06,21.09
2022-07-05,21.17
2022-07-01,21.31
2022-06-30,20.96
2022-06-29,20.95
2022-06-28,20.61
2022-06-27,20.78
2022-06-24,20.99
2022-06-23,20.61
2022-06-22,20.32
2022-06-21,19.96
2022-06-17,19.38
2022-06-16,18.96
2022-06-15,19.44
2022-06-14,19.45
2022-06-13,19.76
2022-06-10,20.69
2022-06-09,20.88
2022-06-08,21.05
2022-06-07,21.14
2022-06-06,20.94
2022-06-03,20.9
2022-06-02,21.19
2022-06-01,21.22
2022-05-31,21.29
2022-05-27,21.29
2022-05-26,21.32
2022-05-25,21.3
2022-05-24,21.16
2022-05-23,20.74
2022-05-20,20.4
2022-05-19,20.21
2022-05-18,20.23
2022-05-17,20.57
2022-05-16,20.28
2022-05-13,19.84
2022-05-12,19.72
2022-05-11,19.43
2022-05-10,19.36
2022-05-09,19.55
2022-05-06,20.03
2022-05-05,19.95
2022-05-04,19.95
2022-05-03,19.33
2022-05-02,19.12
2022-04-29,18.86
2022-04-28,19.42
2022-04-27,19.07
2022-04-26,19.3
2022-04-25,19.51
2022-04-22,19.52
2022-04-21,20.21
2022-04-20,19.43
2022-04-19,19.49
2022-04-18,19.46
2022-04-14,19.54
2022-04-13,19.42
2022-04-12,19.56
2022-04-11,19.63
2022-04-08,24.14
2022-04-07,23.73
2022-04-06,24.03
2022-04-05,23.89
2022-04-04,24.18
2022-04-01,23.98
2022-03-31,23.63
2022-03-30,24.14
2022-03-29,23.99
2022-03-28,23.87
