date,VZ_close
2023-07-13,34.64
2023-07-12,34.86
2023-07-11,34.99
2023-07-10,35.14
2023-07-07,35.9
2023-07-06,37.13
2023-07-05,37.48
2023-07-03,37.28
2023-06-30,37.19
2023-06-29,36.99
2023-06-28,36.82
2023-06-27,36.55
2023-06-26,36.11
2023-06-23,35.51
2023-06-22,35.85
2023-06-21,35.83
2023-06-20,35.81
2023-06-16,36.46
2023-06-15,36.44
2023-06-14,35.73
2023-06-13,35.48
2023-06-12,35.61
2023-06-09,35.47
2023-06-08,35.43
2023-06-07,35.26
2023-06-06,34.7
2023-06-05,34.46
2023-06-02,34.58
2023-06-01,35.72
2023-05-31,35.63
2023-05-30,34.9
2023-05-26,35.0
2023-05-25,34.82
2023-05-24,35.87
2023-05-23,36.24
2023-05-22,35.96
2023-05-19,36.05
2023-05-18,36.13
2023-05-17,36.18
2023-05-16,36.05
2023-05-15,36.77
2023-05-12,37.59
2023-05-11,37.6
2023-05-10,37.63
2023-05-09,37.57
2023-05-08,37.83
2023-05-05,37.83
2023-05-04,37.35
2023-05-03,37.98
2023-05-02,37.67
2023-05-01,38.71
2023-04-28,38.83
2023-04-27,38.79
2023-04-26,36.92
2023-04-25,37.3
2023-04-24,37.1
2023-04-21,37.32
2023-04-20,37.19
2023-04-19,38.6
2023-04-18,38.94
2023-04-17,39.46
2023-04-14,39.22
2023-04-13,39.32
2023-04-12,39.2
2023-04-11,39.45
2023-04-10,39.35
2023-04-06,39.48
2023-04-05,40.11
2023-04-04,39.65
2023-04-03,39.22
2023-03-31,38.89
2023-03-30,38.66
2023-03-29,38.48
2023-03-28,38.0
2023-03-27,38.05
2023-03-24,37.66
2023-03-23,37.37
2023-03-22,37.31
2023-03-21,37.74
2023-03-20,37.43
2023-03-17,36.79
2023-03-16,36.58
2023-03-15,37.06
2023-03-14,36.88
2023-03-13,36.54
2023-03-10,36.68
2023-03-09,36.55
2023-03-08,37.53
2023-03-07,37.91
2023-03-06,38.15
2023-03-03,38.26
2023-03-02,38.41
2023-03-01,38.3
2023-02-28,38.81
2023-02-27,38.88
2023-02-24,38.74
2023-02-23,38.53
2023-02-22,39.28
2023-02-21,39.2
2023-02-17,40.22
2023-02-16,39.84
2023-02-15,40.38
2023-02-14,40.33
2023-02-13,40.32
2023-02-10,40.01
2023-02-09,39.81
2023-02-08,40.52
2023-02-07,40.55
2023-02-06,41.28
2023-02-03,41.51
2023-02-02,41.83
2023-02-01,41.69
2023-01-31,41.57
2023-01-30,41.05
2023-01-27,40.64
2023-01-26,40.27
2023-01-25,40.33
2023-01-24,40.42
2023-01-23,39.63
2023-01-20,40.0
2023-01-19,40.06
2023-01-18,39.97
2023-01-17,40.85
2023-01-13,41.86
2023-01-12,41.81
2023-01-11,41.18
2023-01-10,41.95
2023-01-09,41.37
2023-01-06,42.19
2023-01-05,41.7
2023-01-04,41.13
2023-01-03,40.12
2022-12-30,39.4
2022-12-29,39.26
2022-12-28,38.81
2022-12-27,39.25
2022-12-23,38.41
2022-12-22,38.31
2022-12-21,37.78
2022-12-20,36.99
2022-12-19,37.03
2022-12-16,37.12
2022-12-15,37.77
